Música,#genre#
La_Mega,http://us-b4-p-e-zs14-audio.cdn.mdstrm.com/live-audio-aw/5fada56fe4e09508207a7951?aid=5faaeb72f92d7b07dfe10181&pid=iD71xqseSdqpsDpJfe4z6wQU12DteMfX&sid=sfQaQeFmfnsn1bJ8yht8f8wG51JxzlVh&uid=YpV0ppZpBgTN9FdXMRHZhbuzLR3NvMdX&es=us-b4-p-e-zs14-audio.cdn.mdstrm.com&ote=1787995974562&ot=M59uwHr2uB3W6k3SpkJ2nA&proto=http&pz=us&cP=128000&awCollectionId=5faaeb72f92d7b07dfe10181&liveId=5fada56fe4e09508207a7951&listenerId=YpV0ppZpBgTN9FdXMRHZhbuzLR3NvMdX
Radio_Latidos.pe,http://ip.peruhits.com:7230/stream
RCC_Lima,https://radio.rcclima.org.pe/listen/rcc_lima/radio.mp3
Radio_El_Pueblo_93.3_FM,http://conectperu.com/8240/stream
El_Sembrador_590_AM,https://panel.streamenviron.com:8158/stream.mp3
La_Nueva_Restauracion_Radio_FM,http://stm.gmpro.top:7052/
Radio_Inka_Tropical_91.3_FM,http://radio.perustream.com/8004/stream
RadioMv_-_Spanish_Christian_Radio,http://dfw1.radiomv.live/spanish.mp3
Radio_Tacna_104.3_FM,http://conectperu.com/8024/stream/
Radio_Andahuaylas,http://sonic01.instainternet.com:8102/stream/
Satélite_100.7_FM,http://conectperu.com/8166/stream
Radio_Bahia_5,http://conectperu.com:8174/stream/
Radio_Union_880_AM,http://sp.onliveperu.com/8008/stream
Radio_Amazónica,http://cloudstream2034.conectarhosting.com:8172/stream/
Radio_Revolucion_Mix,http://sp.tvcontrolcp.com/8012/stream
RADIO_CLASICA_ROCK&POP,https://cloudstream2036.conectarhosting.com/8130/stream%20%20https://radioclasicarockandpop.com
Radio_Estación_Alpamayo,http://sonic01.instainternet.com:8032/stream/
Radio_Reina_de_la_Selva,http://stream.eistreaming.com:7068/
Radio_Agua_Marina,http://miradioperu.com:8564/stream/
Radio_El_Patrón,http://sp.onliveperu.com:8046/stream/
Radio_Escarabajo,http://sp.onliveperu.com:8010/stream/
Radio_Latidos_FM,http://ip.peruhits.com:7230/stream/
Radio_Karicia_Tarapoto,http://shoutcast.tmcreativos.com:8012/stream/
Radio_Patamarca_FM_100.7,http://radio.transmite.pe:9400/stream/
Radio_Los_Angeles_Chepén,http://94.23.159.187:9950/stream/
Radio_JHC,https://sp.oyotunstream.com:10979/stream/
Radio_Regional_910_AM,http://conectperu.com:8214/stream/
Radio_Satélite_100.7_FM,http://conectperu.com:8166/stream/
Radio_Sensación_Universe_97.7,http://conectperu.com:8218/stream/
Radio_Tabocas_Mix_92.1_FM,http://sp.onliveperu.com:8092/stream/
Radio_Huracán,http://radio.sistemasandinos.org:7158/stream/
Red_Vida_Radio,http://radio.sistemasandinos.org:7192/stream/
Apurimeña_92.7_fm_-_Antabamba,https://sonic.dattassd.com/4054/stream
